84430	100150	Dit kruis op de preekstoel werd vervaardigd door Goossens uit Sint-Niklaas, voor de prijs van 75 frank. Op het kruis draagt Jezus geen doornen kroon. Hij deed dit omdat de Schilders Van Eyck dit ook niet deden.		Sint-Niklaas	preekstoelkruis	
84431	100151	Koorbanken in de lengte van het koor opgesteld, en die een scheiding vormen met de zijkoren.	/		koorbanken	Calenbergh, Robert Van
84431	100151	Koorbanken in de lengte van het koor opgesteld, en die een scheiding vormen met de zijkoren.	/		koorbanken	Goethals, Jules (1855-1918)
84432	100152	Kerkmeesterbank staat in het St-Sebastiaankoor sedert 1838.  - Zij is vermoedelijk samen met de oude schepenbank gemaakt. De ornamenten zijn identiek.   -Er is sprake van een 'tooch' voor de kerkmeester en gemaakt door Philip Talboom in 1662.  Er was ook			kerkmeesterbank	
84433	100153	Schepenbank in het zuiderkoor.			Schepenbank	
84434	100154	Orgel met  2 orgelkasten, 1500 pijpen. Met blaasbalg en electrische motor.Het goortste gedeelte werd door de zonen van de orgelbouwer afgewerkt.	/		Schijven orgel	Schijven, Pierre
84435	100155	elektronisch orgel met postief			misorgel	
84436	100156	Dierick Wilsssone stierf hier, waarschijnlijk als pastoor, in 1407 en was vermoedelijk ook afkomstig van Stekene. Hij had hier in elk geval, dat maakt men op uit de tekst, heel wat familie.    Hij bepaalt hierbij dat hij een jaarlijkse gift doet van 11 Ge			Fundatiesteen van pastoor Wilssone 1407	
84437	100157	Deze fundatiesteen is opgehangen aan de zuidermuur. Zij is versierd met een asurne waarover een lijkdoek hangt, een zandloper met vleugels, een, schedel of memento morie. Dit alles ter nagedachtenis van Pastoor Norbert Legiers, gedurende 27 jaren pastoor		Stekene	Fundatiesteen Pastoor Legiers	
84438	100158	Oude doopvont uit 1662, geschonken ter nagedachtenis  aan Maria Anna Quesau. Wordt momenteel nog gebruikt als wijwatervat.			oude doopvont	
84439	100159	Doopvont in de doopkapel. Marmeren kuip met koperen deksel. Het deksel hangt aan de muur en draait op een scharnier. Het deksel is versiert met kruisdragende wereldbol en daaromheen een slang.    De marmeren kuip werd gemaakt door Désire Bernard uit Sint			Doopvont	
84440	100160	Koperen bekken met deksel, wordt nu gebruikt om te dopen. Was oorspronkelijk voorzien om de paaskaars te dopen en voor wijding van water op paaszaterdag.			Doopwaterbekken.	
84441	100161	Gedenksteen van de pastoors uit  Stekene die bekend waren in 1781 door Pastoor deken Ludovicus Van de Berghe in wit marmer.			Gedenksteen Pastoors.	
84442	100162	schelpvormig wijwatervat, op smeedijzeren sokkel.			Wijwatervat	
84443	100163	Wijwatervat aan ingang kerk.			Wijwatervat 1957	
84444	100164	Beeld van de H.Jan Bosco met sokkel.			H. Jan Bosco	
84445	100165	Beeld van O.L.Vrouw van zeven smarten, met sokkel.			O.L.Vrouw van zeven smarten.	
84446	100166	Beeld van de H.Theresia van Lisieux.			H.Theresia van Lisieux	
84447	100167	Beedl H.Barbara, met sokkel en kaarsen.			H.Barbara	
84448	100168	Beeld H.Hart van Jezus op sokkel met kandelaar.			H.Hart van Jezus	
84449	100253	Houten stok.  Conische voet.  Houten kruis bekleed met koper.			Processiekruis	
84450	100255	- palmetfries en astragaallijst			H. Apollonia	
84451	100256				Onze-Lieve-Vrouwbeeld	
84452	100257	Hout beslagen met zilver.  In de hoeken vergulde cartoucheversiering.  Drukwerk uit Antwerpen (uitgeverij Plantijn - 19e eeuw).	/			Sauvage, Piat Joseph (1744-1818)
84453	100258	Rond.  Hart met kruisbekroning.  Houten steel.  Versiering: ingehamerde cirkeltjes.				
84454	100260	Schelpvormig; acanthusblad aan aanhechting met handvat.  Ballustervormig handvat.  Op binnenkant deksel: OLVrouw met Kind en H. Johannes in koper.				
84455	100261	4 belletjes (2 grote en 2 kleine).  Geajoureerde armen met visblaasmotief.  Handgreep met visblaasmotief.				
84456	100262	Sobere vormgeving.  Vierkant.  Met handvat.				
84457	100263	Sobere vormgeving				
84458	100264					
84459	100265	Ronde voet op klauwpoten  Stam met kussens.  Knoop versierd met halfedelstenen.  Ronde vetvanger met leliefries.				
84460	100266	SCHEEPJE: ronde voet, conische stam, bootvormig scheepje met deksel.  VAT: ronde voet en geajoureerd deksel.			Wierookvat en -scheepje	
84461	100267	KELK: brede, ronde voet met opgelegd verguld kruisje in vierkant. Stam met knoop bestaande uit wit bakeliet en blauwe steen (lapis lazuli). Onversierde cupa met vergulde rand.  PATEEN: gegraveerd kruisje zoals op kelk.			Kelk, pateen en kelklepeltje	
84462	100268				Sacristiestoel	
84463	100269	Ronde pyxis; dekseltje met verhoging met gegraveerd kruis.	/	Gent		Reuck, Gedeon De
84464	100282	4 platte bolpoten, getorste poten, opklapblad				
84465	100285	Schotel met gelobde rand. Op de keerzijde twee Brusselse merken: sint Michiel met initialen  L.T. en kleine gekroonde roos		Brussel		
84466	100287	- Fluweelovertrek  - Armstoel met x-vormige poten, centraal rozet, rugleuning geaggureerd met vierpassen. Hoogte 87, breedte 52, diepte 55cm  - 2 aanstelstoelen met x-vormige poten, centraal rozet, rugleuning geaggureerd met vierpassen. Hoogte 32.5, breed			Sedilia: armstoel en 2 aanstelstoelen	
84467	100292	Gelobde rand		Brussel		
84468	100296	Rechthoekige briefpanelen, maaswerk				
84469	100308				Hoofdaltaar	
84470	100309	3 misdienaarsstoeltjes - fluweelovertrek, sobere vormgeving			Misdienaarskruk	
84471	100310	- Aangebouwd tegen Z-W pijler van de viering  - Vierkante kuip met afgeschuinde hoeken op een grote vergulde rocaille met bladwerk  - 4 zijden met verdiept vlak: 2 ingesneden hoeken met rosset. Afgeschuinde hoeken met pilasters met voluut en acanthusblade				
84472	100311	- kopie naar Pieter Paul Rubens.Altaarstuk van het zijaltaar noord  - Vlaamse School			Kruisafneming	
84473	100312				Zijaltaar	
84474	100313				Zijaltaar	
84475	100314				Doopvont met deksel	
84476	100358	Schilderij H. Maurus, altaarstuk van het zijaltaar zuid- Vlaamse school			H. Maurus	
84477	100359	"- 19de eeuwse polychromie  - met sokkel: vierzijdig met afgeschuinde hoeken, engelenfiguur met banderol in gips, gesigneerd: \""G.H.PARENTANI Fres DEPOSE\"". Afmetingen sokkel: ho. 49, br. 46, di. 49cm"			O.L.Vrouw met kind	
84478	100360	2 beelden van engelen in aanbidding, links en rechts aan het hoofdaltaar			2 engelen in aanbidding	
84479	100361	Elektrische kandelaar, driezijdige geaggureerde voet op drakenpoten, vaasvormige stam, bloemen in porselein, bloemvormige vervangers met elektrische lampen				
84480	100362	- Klok ingewerkt in hoekkast, onderaan dieper  - Klok zelf: deur met slag in de hoeken: 2 engeltjes houden kroon vast. Achter het glas in de hoeken: krullen- en schelpmotieven -idem rond wijzerplaat  - Bovenaan bekroning met monogram				
84481	100363	driezijdige geprofileerde voet op bolpoten, balustervormige stam, ronde vetvanger				
84482	100364	Driezijdige geprofileerde voet op bolpoten, balustervormige stam, ronde vetvanger				
84483	100365	- 3zijdige voet op krulpoten. Ovalen voet omgeven door rocailles, voluten en bladwerk. Balustervormige stam met bladeik-motief en knorlijst  - Ronde vetvanger met knorlijst			Kandelaars op hoogaltaar	
84484	100372	- driezijdige voet met wapenschild van de familie de Ghellinck d'Elseghem				
84485	100373	- Klokvormige voet met 2 bladwerkcartouches en 2 keer 2 gespiegelde C-vormige krullen  - Stam met bladwerkkrullen en schelpen  - Centrale vetvanger geflankeerd door 4 armen met elk een vetvanger				
84486	100374	- driezijdige voet op 3 C-vormige poten. Voet met rococo-cartouche omgeven door rocailles, C-krullen en bladwerk. Aan elke kant zilveren wapenschild van de familie de Ghellinck d'Elseghem  - balustervormige stam met knorrenfries  - op de onderste knop 3 g				
84487	100375	Brede ronde voet, onversierde stam, ronde vetvanger met verdikking				
84488	100376	Vierkante voet, balustervormige stam, ronde vetvanger				
84489	100377					
84490	100378					
84491	100393	- uitgevoerd in eikenhout.  - geïntegreerd in de lambrizering.  - bovenstuk heeft half cirkelvormig verhoogd middengedeelte.  - hierin frontonmedaillon met Christusfiguur als Goede Herder in bas-reliëf met schaap schouders.  - vergulde randen van het meda			biechtstoel	Onbekend
84492	100394	- uitgevoerd in eikenhout.  - geïntegreerd in de lambrizering.  - bovenstuk heeft half cirkelvormig verhoogd middengedeelte.  - hierin medaillon met blinde cartouche  bas-reliëf bekroond met engelenkopje.  - twee fakkelvlammetjes op de geprofileerde kroon			biechtstoel	Onbekend
84493	100395	- uitgevoerd in eikenhout.  - geïntegreerd in de lambrizering en de banken van de Sint- Ambrosiusgilde.  - vlakke kroonlijst.  - drie vakken.   - middenvak afgesloten met deur met erboven twee klapdeurtjes, elk met uitgesneden rozas.  - middenvak heeft ee			biechtstoel	Onbekend
84494	100396	- uitgevoerd in eikenhout.  - geïntegreerd in de lambrizering.  - vlakke kroonlijst.  - drie vakken.   - middenvak afgesloten met deur met erboven twee klapdeurtjes, elk met uitgesneden rozas.  - in beide biechtgedeelten : vaste knielbank in hout.  - in h			biechtstoel	
84495	100397	- dubbele draaiende vleugel in het midden die weggenomen is (zie historiek).  - in elke zijkant bevindt zich een ingewerkte draaideur, dit voor elk zijaltaar.  - naast de draaideurtjes, 9 vaste panelen met houtsnijwerk, bestaande uit : druiventrossen, kor			communiebank	Onbekend
84496	100398	- bestaat uit zeshoekige kuip met snijwerk in bas-reliëf.  - op de zes zijvlakken telkens een andere voorstelling.  - vooraan de lijdende Zaligmaker met kruis en kelk.  - achteraan op deur : Christusfiguur met wereldbol in de linkerhand en de rechterhand	/		Preekstoel	Sauvage, Antoon II
84497	100485	Band in zwart leder, voorzien van twee geciseleerde messing sluitingen.		Mechelen	Missale Romanum	
84498	100486	Lederen band met twee sluitingen.	/	Antwerpen	Missale Romanum	Plantijn (drukkerij)
84499	100487	Band in zwart leder met centraal op het voor- en achterplat een Chi-Ro-monogram en de letters Alfa en Omega, alles in verguld en in preegdruk. Vergulde snede.	/	Antwerpen	Epistolae et Evangelia ....	Plantijn (drukkerij)
84500	100488	Band in zwart leder, centraal op het voorplat een kruis in preegdruk. Vergulde snede.	/	Mechelen	Missale Romanum	Dessain
84501	100489	Rijkelijk versierde band in rood leder. Centraal op het voorplat een kruis met IHS-monogram, omkaderd met bloemmotieven, alles verguld en in preegdruk. Binnenin kleurlitho.		Doornik	Missale Romanum	Desclée, Lefebvre et Cie
84502	100490	Band in zwart leder; twee (onvolledige) sluitingen in messing.	/	Antwerpen	Missale Romanum	Plantijn (drukkerij)
84503	100491	Band in rood leder, rijkelijk versierd met motieven in gouddruk (preegdruk). Centraal op het voorplat het bloedend hart in stralenkrans, omringd door de stigmata van Jezus. Druivenranken, mispelbloemen, lelie's.		Doornik	Epistolae et Evangelia	Desclée, Lefebvre et Cie
